username,real_x,real_y,result_x,result_y,hit
Sergej Trifunović,0.1,-1.0,0.42,0.56,False
Vuk Jeremić,0.0,-0.2,0.43,0.59,False
Nina Stojaković,0.0,1.0,0.54,0.5,False
Anna Oreg,0.1,-0.8,0.3,0.5,False
Ne davimo Beograd,-0.3,0.0,0.6,0.6,False
LDP,-0.3,-0.9,0.44,0.56,False
Pokret ujed. fantoma,-0.7,-0.7,0.54,0.5,False
Čedomir Jovanović,-0.2,1.0,0.51,0.56,False
Pokret Socijalista,-0.8,1.0,0.51,0.55,False
Branislav Lečić,-0.1,0.4,0.44,0.6,False
Fond za humanitarno pravo,0.0,-0.9,0.51,0.55,False
Aleksandar Odžić,-0.5,0.5,0.54,0.6,False
Александар Вучић,0.6,0.8,0.44,0.68,True
Марко Ђурић,0.3,0.9,0.47,0.68,True
Милош Вучевић,0.2,0.9,0.44,0.68,True
Владимир Ђукановић,0.8,0.9,0.42,0.56,False
Zoran Tomić,0.5,0.7,0.54,0.55,True
Др Владимир Орлић,0.4,0.8,0.46,0.55,True
Небојша Стефановић,0.5,0.8,0.44,0.68,True
Вјерица Радета,0.7,1.0,0.44,0.62,False
Aна Брнабић,0.1,0.5,0.6,0.6,False
Tomislav Momirovic,0.1,0.4,0.6,0.6,False
Ђурађ Јакшић,0.8,1.0,0.5,0.68,False
Marijan Rističević,0.4,0.8,0.51,0.55,True
Saša Radulović,0.2,0.6,0.42,0.56,True
Aris Movsesijan,0.3,-0.6,0.43,0.63,False
Nemanja Šarović,0.7,0.4,0.43,0.62,True
Zoran Lutovac,0.3,-0.2,0.42,0.59,False
Бошко Обрадовић,0.4,0.8,0.42,0.56,True
ДЈБ - Суверенисти,0.2,0.6,0.51,0.56,False
Šutanovac Dragan,0.4,-0.1,0.54,0.47,False
Vojin Biljić,0.3,0.7,0.44,0.68,True
ДВЕРИ,0.3,0.8,0.42,0.56,True
"Prof. dr Vladimir Vuletić, #CNB",0.3,0.5,0.42,0.56,True
Nova stranka,0.4,-0.5,0.43,0.63,False
Narodna stranka,-0.2,-0.7,0.42,0.56,False
Stranka slobode i pravde,-0.5,0.0,0.54,0.47,False
Marinika Tepić,0.1,-0.4,0.54,0.47,False
Aleksandar Šešelj,0.8,0.7,0.44,0.68,False
Miroslav Aleksic,0.2,0.2,0.42,0.56,False
Borko Stefanović,0.1,-0.3,0.49,0.56,False
NKPJ,-1.0,1.0,0.51,0.55,False
Partija rada,-0.7,0.5,0.42,0.56,False
OSFSerbia,-0.1,-0.7,0.49,0.55,False
Katalonka,-0.6,0.3,0.6,0.6,False
Невена Ђурић,0.3,0.9,0.51,0.55,False
Hana Adrović,0.4,0.4,0.51,0.55,True
Aleksandar Šapić,0.0,0.4,0.54,0.47,False
Demokratska stranka,0.4,-0.7,0.57,0.53,False
Dragan Djilas,0.3,-0.5,0.54,0.47,False
Brajan Brkovic,-1.0,0.5,0.57,0.53,False
Miran Pogačar,-0.9,-0.1,0.54,0.47,False
"MORAMO,",-0.4,0.3,0.61,0.61,False
