username,real_x,real_y,result_x,result_y,hit
Fond za humanitarno pravo,0.0,-0.9,0.1,-0.1,False
Katalonka,-0.6,0.3,-0.0,-0.0,False
Marinika Tepić,0.1,-0.4,0.1,-0.1,True
Vuk Jeremić,0.0,-0.2,0.1,0.0,True
Miroslav Aleksic,0.2,0.2,0.15,0.2,True
Небојша Стефановић,0.5,0.8,0.4,0.7,True
Aна Брнабић,0.1,0.5,-0.0,0.4,True
Tomislav Momirovic,0.1,0.4,0.2,0.5,True
Aleksandar Odžić,-0.5,0.5,0.1,0.25,False
OSFSerbia,-0.1,-0.7,0.1,-0.1,False
Marijan Rističević,0.4,0.8,0.3,0.5,True
Demokratska stranka,0.4,-0.7,0.15,0.2,False
Nemanja Šarović,0.7,0.4,0.3,0.6,True
Pokret Socijalista,-0.8,1.0,0.1,-0.1,False
Čedomir Jovanović,-0.2,1.0,0.1,0.05,False
Zajedno Za Srbiju,-0.4,0.3,-0.1,0.4,True
Saša Radulović,0.2,0.6,0.1,0.0,False
Šutanovac Dragan,0.4,-0.1,0.3,0.0,True
Александар Вучић,0.6,0.8,0.2,0.7,True
Ne davimo Beograd,-0.3,0.0,0.1,-0.1,True
LDP,-0.3,-0.9,0.1,0.0,False
Владимир Ђукановић,0.8,0.9,0.3,0.6,False
NKPJ,-1.0,1.0,0.0,-0.05,False
Sergej Trifunović,0.1,-1.0,0.2,-0.1,False
Nina Stojaković,0.0,1.0,-0.0,-0.1,False
Милош Вучевић,0.2,0.9,0.2,0.5,True
Anna Oreg,0.1,-0.8,0.3,-0.1,False
Марко Ђурић,0.3,0.9,0.2,0.1,False
Бошко Обрадовић,0.4,0.8,0.1,0.1,False
Partija rada,-0.7,0.5,0.1,-0.1,False
ДЈБ - Суверенисти,0.2,0.6,0.2,0.5,True
Dragan Djilas,0.3,-0.5,-0.0,-0.1,True
Narodna stranka,-0.2,-0.7,0.1,0.1,False
Vojin Biljić,0.3,0.7,0.25,0.3,True
Borko Stefanović,0.1,-0.3,0.1,0.1,True
Brajan Brkovic,-1.0,0.5,-0.0,-0.15,False
Aleksandar Šapić,0.0,0.4,0.15,0.05,True
Stranka slobode i pravde,-0.5,0.0,0.1,-0.1,False
Вјерица Радета,0.7,1.0,0.2,0.5,False
"MORAMO,",-0.4,0.3,-0.2,-0.1,True
Branislav Lečić,-0.1,0.4,0.1,0.1,True
Zoran Tomić,0.5,0.7,0.1,0.1,False
ДВЕРИ,0.3,0.8,0.15,-0.05,False
Др Владимир Орлић,0.4,0.8,0.3,-0.1,False
Miran Pogačar,-0.9,-0.1,0.1,-0.1,False
Pokret ujed. fantoma,-0.7,-0.7,0.1,0.1,False
"Prof. dr Vladimir Vuletić, #CNB",0.3,0.5,0.1,-0.0,False
Aris Movsesijan,0.3,-0.6,0.1,-0.1,False
Zoran Lutovac,0.3,-0.2,0.1,0.5,False
Невена Ђурић,0.3,0.9,0.1,0.1,False
Hana Adrović,0.4,0.4,0.25,0.55,True
Zelena Stranka,-0.3,-0.4,0.1,-0.2,True
Nova stranka,0.4,-0.5,0.1,-0.2,True
Здравко Понош,0.3,0.5,0.3,0.5,True
Ђурађ Јакшић,0.8,1.0,0.3,0.5,False
