username,economic_policy,social_policy
Zoran Tomić,0.5,0.7
Вјерица Радета,0.7,1
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Marijan Rističević,0.4,0.8
Вјерица Радета,0.7,1
Aleksandar Šapić,0.0,0.4
Tomislav Momirovic,0.1,0.4
Marijan Rističević,0.4,0.8
Marijan Rističević,0.4,0.8
Marijan Rističević,0.4,0.8
Tomislav Momirovic,0.1,0.4
Nemanja Šarović,0.7,0.4
Вјерица Радета,0.7,1
Вјерица Радета,0.7,1
Marijan Rističević,0.4,0.8
Šutanovac Dragan,0.4,-0.1
Бошко Обрадовић,0.4,0.8
Aris Movsesijan,0.3,-0.6
Nova stranka,0.4,-0.5
Бошко Обрадовић,0.4,0.8
Бошко Обрадовић,0.4,0.8
Бошко Обрадовић,0.4,0.8
Nova stranka,0.4,-0.5
Nova stranka,0.4,-0.5
Aris Movsesijan,0.3,-0.6
Бошко Обрадовић,0.4,0.8
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
ДВЕРИ,0.3,0.8
Šutanovac Dragan,0.4,-0.1
ДВЕРИ,0.3,0.8
Hana Adrović,0.4,0.4
Šutanovac Dragan,0.4,-0.1
Nova stranka,0.4,-0.5
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Aris Movsesijan,0.3,-0.6
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
ДВЕРИ,0.3,0.8
Aris Movsesijan,0.3,-0.6
Šutanovac Dragan,0.4,-0.1
Aris Movsesijan,0.3,-0.6
ДВЕРИ,0.3,0.8
Aris Movsesijan,0.3,-0.6
Aris Movsesijan,0.3,-0.6
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
ДВЕРИ,0.3,0.8
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Hana Adrović,0.4,0.4
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Hana Adrović,0.4,0.4
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Sergej Trifunović,0.1,-1
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Borko Stefanović,0.1,-0.3
Vuk Jeremić,0,-0.2
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Vuk Jeremić,0,-0.2
Sergej Trifunović,0.1,-1
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0,-0.2
Dragan Djilas,0.3,-0.5
Vuk Jeremić,0,-0.2
Marinika Tepić,0.1,-0.4
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0,-0.2
Marinika Tepić,0.1,-0.4
Borko Stefanović,0.1,-0.3
Narodna stranka,-0.2,-0.7
Vuk Jeremić,0,-0.2
Sergej Trifunović,0.1,-1
Vuk Jeremić,0,-0.2
Nina Stojaković,0,1
Sergej Trifunović,0.1,-1
Vuk Jeremić,0,-0.2
Nina Stojaković,0,1
Sergej Trifunović,0.1,-1
Anna Oreg,0.1,-0.8
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Владимир Ђукановић,0.8,0.9
Владимир Ђукановић,0.8,0.9
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Marijan Rističević,0.4,0.8
Вјерица Радета,0.7,1
Владимир Ђукановић,0.8,0.9
Вјерица Радета,0.7,1
Ђурађ Јакшић,0.8,1
Marijan Rističević,0.4,0.8
Владимир Ђукановић,0.8,0.9
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Владимир Ђукановић,0.8,0.9
Вјерица Радета,0.7,1
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Владимир Ђукановић,0.8,0.9
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Владимир Ђукановић,0.8,0.9
Владимир Ђукановић,0.8,0.9
Владимир Ђукановић,0.8,0.9
Marijan Rističević,0.4,0.8
Владимир Ђукановић,0.8,0.9
Бошко Обрадовић,0.4,0.8
Бошко Обрадовић,0.4,0.8
Nemanja Šarović,0.7,0.4
Бошко Обрадовић,0.4,0.8
ДВЕРИ,0.3,0.8
Бошко Обрадовић,0.4,0.8
Бошко Обрадовић,0.4,0.8
Бошко Обрадовић,0.4,0.8
Бошко Обрадовић,0.4,0.8
"Prof. dr Vladimir Vuletić, #CNB",0.3,0.5
Nova stranka,0.4,-0.5
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Nemanja Šarović,0.7,0.4
Šutanovac Dragan,0.4,-0.1
Aris Movsesijan,0.3,-0.6
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
Saša Radulović,0.2,0.6
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Stranka slobode i pravde,-0.5,0
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0,-0.2
Marinika Tepić,0.1,-0.4
Aleksandar Šešelj,0.8,0.7
Dragan Djilas,0.3,-0.5
Aleksandar Šešelj,0.8,0.7
Sergej Trifunović,0.1,-1
Miroslav Aleksic,0.2,0.2
Stranka slobode i pravde,-0.5,0
Borko Stefanović,0.1,-0.3
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0,-0.2
Miroslav Aleksic,0.2,0.2
Aleksandar Šešelj,0.8,0.7
Marinika Tepić,0.1,-0.4
Narodna stranka,-0.2,-0.7
Borko Stefanović,0.1,-0.3
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Sergej Trifunović,0.1,-1
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0,-0.2
Vuk Jeremić,0,-0.2
Narodna stranka,-0.2,-0.7
Aleksandar Šešelj,0.8,0.7
Narodna stranka,-0.2,-0.7
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0,-0.2
Zoran Tomić,0.5,0.7
ДЈБ - Суверенисти,0.2,0.6
Zoran Tomić,0.5,0.7
Marijan Rističević,0.4,0.8
Marijan Rističević,0.4,0.8
Nemanja Šarović,0.7,0.4
Marijan Rističević,0.4,0.8
Saša Radulović,0.2,0.6
Saša Radulović,0.2,0.6
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
Saša Radulović,0.2,0.6
Владимир Ђукановић,0.8,0.9
Saša Radulović,0.2,0.6
Saša Radulović,0.2,0.6
Šutanovac Dragan,0.4,-0.1
Saša Radulović,0.2,0.6
