username,economic_policy,social_policy
Fond za humanitarno pravo,0.0,-0.9
Katalonka,-0.6,0.3
Marinika Tepić,0.1,-0.4
Vuk Jeremić,0.0,-0.2
Miroslav Aleksic,0.2,0.2
Небојша Стефановић,0.5,0.8
Aна Брнабић,0.1,0.5
Tomislav Momirovic,0.1,0.4
Vuk Jeremić,0.0,-0.2
Aleksandar Odžić,-0.5,0.5
Fond za humanitarno pravo,0.0,-0.9
Marinika Tepić,0.1,-0.4
OSFSerbia,-0.1,-0.7
Marijan Rističević,0.4,0.8
Fond za humanitarno pravo,0.0,-0.9
Demokratska stranka,0.4,-0.7
Nemanja Šarović,0.7,0.4
Pokret Socijalista,-0.8,1.0
Čedomir Jovanović,-0.2,1.0
Aleksandar Odžić,-0.5,0.5
Zajedno Za Srbiju,-0.4,0.3
Aна Брнабић,0.1,0.5
Saša Radulović,0.2,0.6
Fond za humanitarno pravo,0.0,-0.9
Šutanovac Dragan,0.4,-0.1
Fond za humanitarno pravo,0.0,-0.9
Александар Вучић,0.6,0.8
Ne davimo Beograd,-0.3,0.0
Šutanovac Dragan,0.4,-0.1
Fond za humanitarno pravo,0.0,-0.9
Vuk Jeremić,0.0,-0.2
LDP,-0.3,-0.9
Владимир Ђукановић,0.8,0.9
NKPJ,-1.0,1.0
Александар Вучић,0.6,0.8
Fond za humanitarno pravo,0.0,-0.9
LDP,-0.3,-0.9
Sergej Trifunović,0.1,-1.0
Nina Stojaković,0.0,1.0
Šutanovac Dragan,0.4,-0.1
Šutanovac Dragan,0.4,-0.1
Zajedno Za Srbiju,-0.4,0.3
Милош Вучевић,0.2,0.9
Saša Radulović,0.2,0.6
Anna Oreg,0.1,-0.8
LDP,-0.3,-0.9
Марко Ђурић,0.3,0.9
LDP,-0.3,-0.9
LDP,-0.3,-0.9
Fond za humanitarno pravo,0.0,-0.9
Бошко Обрадовић,0.4,0.8
Marinika Tepić,0.1,-0.4
Владимир Ђукановић,0.8,0.9
LDP,-0.3,-0.9
Šutanovac Dragan,0.4,-0.1
Небојша Стефановић,0.5,0.8
LDP,-0.3,-0.9
Partija rada,-0.7,0.5
Fond za humanitarno pravo,0.0,-0.9
Saša Radulović,0.2,0.6
Fond za humanitarno pravo,0.0,-0.9
Fond za humanitarno pravo,0.0,-0.9
Бошко Обрадовић,0.4,0.8
Miroslav Aleksic,0.2,0.2
Бошко Обрадовић,0.4,0.8
Šutanovac Dragan,0.4,-0.1
ДЈБ - Суверенисти,0.2,0.6
Dragan Djilas,0.3,-0.5
Марко Ђурић,0.3,0.9
Narodna stranka,-0.2,-0.7
Милош Вучевић,0.2,0.9
Vojin Biljić,0.3,0.7
Fond za humanitarno pravo,0.0,-0.9
LDP,-0.3,-0.9
Tomislav Momirovic,0.1,0.4
LDP,-0.3,-0.9
Saša Radulović,0.2,0.6
ДЈБ - Суверенисти,0.2,0.6
Zajedno Za Srbiju,-0.4,0.3
Narodna stranka,-0.2,-0.7
LDP,-0.3,-0.9
Borko Stefanović,0.1,-0.3
Brajan Brkovic,-1.0,0.5
Aleksandar Šapić,0.0,0.4
Бошко Обрадовић,0.4,0.8
Stranka slobode i pravde,-0.5,0.0
Šutanovac Dragan,0.4,-0.1
Александар Вучић,0.6,0.8
LDP,-0.3,-0.9
Šutanovac Dragan,0.4,-0.1
Miroslav Aleksic,0.2,0.2
Sergej Trifunović,0.1,-1.0
LDP,-0.3,-0.9
Marinika Tepić,0.1,-0.4
Šutanovac Dragan,0.4,-0.1
Вјерица Радета,0.7,1.0
Čedomir Jovanović,-0.2,1.0
Šutanovac Dragan,0.4,-0.1
Narodna stranka,-0.2,-0.7
Бошко Обрадовић,0.4,0.8
Dragan Djilas,0.3,-0.5
Tomislav Momirovic,0.1,0.4
Marinika Tepić,0.1,-0.4
Narodna stranka,-0.2,-0.7
LDP,-0.3,-0.9
Marijan Rističević,0.4,0.8
Saša Radulović,0.2,0.6
Бошко Обрадовић,0.4,0.8
Šutanovac Dragan,0.4,-0.1
Marinika Tepić,0.1,-0.4
ДЈБ - Суверенисти,0.2,0.6
Бошко Обрадовић,0.4,0.8
"MORAMO,",-0.4,0.3
Ne davimo Beograd,-0.3,0.0
Branislav Lečić,-0.1,0.4
Александар Вучић,0.6,0.8
Tomislav Momirovic,0.1,0.4
Zoran Tomić,0.5,0.7
Marinika Tepić,0.1,-0.4
Borko Stefanović,0.1,-0.3
Stranka slobode i pravde,-0.5,0.0
Sergej Trifunović,0.1,-1.0
Aleksandar Šapić,0.0,0.4
Narodna stranka,-0.2,-0.7
Бошко Обрадовић,0.4,0.8
Marinika Tepić,0.1,-0.4
Милош Вучевић,0.2,0.9
Zoran Tomić,0.5,0.7
LDP,-0.3,-0.9
OSFSerbia,-0.1,-0.7
LDP,-0.3,-0.9
Katalonka,-0.6,0.3
Narodna stranka,-0.2,-0.7
Marinika Tepić,0.1,-0.4
Бошко Обрадовић,0.4,0.8
Zoran Tomić,0.5,0.7
Вјерица Радета,0.7,1.0
Dragan Djilas,0.3,-0.5
Zoran Tomić,0.5,0.7
Марко Ђурић,0.3,0.9
LDP,-0.3,-0.9
Narodna stranka,-0.2,-0.7
ДВЕРИ,0.3,0.8
LDP,-0.3,-0.9
Вјерица Радета,0.7,1.0
Stranka slobode i pravde,-0.5,0.0
Милош Вучевић,0.2,0.9
Šutanovac Dragan,0.4,-0.1
Borko Stefanović,0.1,-0.3
ДЈБ - Суверенисти,0.2,0.6
Sergej Trifunović,0.1,-1.0
Saša Radulović,0.2,0.6
Fond za humanitarno pravo,0.0,-0.9
Saša Radulović,0.2,0.6
Vuk Jeremić,0.0,-0.2
Марко Ђурић,0.3,0.9
ДЈБ - Суверенисти,0.2,0.6
Zoran Tomić,0.5,0.7
Бошко Обрадовић,0.4,0.8
Vuk Jeremić,0.0,-0.2
LDP,-0.3,-0.9
Zoran Tomić,0.5,0.7
Небојша Стефановић,0.5,0.8
Zoran Tomić,0.5,0.7
Fond za humanitarno pravo,0.0,-0.9
Pokret Socijalista,-0.8,1.0
Fond za humanitarno pravo,0.0,-0.9
Šutanovac Dragan,0.4,-0.1
