sep=,
username,economic_policy,social_policy
Sergej Trifunović,0.1,-1
Vuk Jeremić,0,-0.2
Sergej Trifunović,0.1,-1
Nina Stojaković,0,1
Vuk Jeremić,0,-0.2
Nina Stojaković,0,1
Sergej Trifunović,0.1,-1
Anna Oreg,0.1,-0.8
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Sergej Trifunović,0.1,-1
Ne davimo Beograd,-0.3,0
LDP,-0.3,-0.9
Pokret ujed. fantoma,-0.7,-0.7
Pokret ujed. fantoma,-0.7,-0.7
LDP,-0.3,-0.9
Čedomir Jovanović,-0.2,1
LDP,-0.3,-0.9
Pokret ujed. fantoma,-0.7,-0.7
LDP,-0.3,-0.9
LDP,-0.3,-0.9
LDP,-0.3,-0.9
LDP,-0.3,-0.9
LDP,-0.3,-0.9
Pokret Socijalista,-0.8,1
LDP,-0.3,-0.9
Branislav Lečić,-0.1,0.4
LDP,-0.3,-0.9
LDP,-0.3,-0.9
LDP,-0.3,-0.9
Fond za humanitarno pravo,0,-0.9
Aleksandar Odžić,-0.5,0.5
Aleksandar Odžić,-0.5,0.5
Aleksandar Odžić,-0.5,0.5
Александар Вучић,0.6,0.8
Марко Ђурић,0.3,0.9
Милош Вучевић,0.2,0.9
Марко Ђурић,0.3,0.9
Владимир Ђукановић,0.8,0.9
Александар Вучић,0.6,0.8
Zoran Tomić,0.5,0.7
Марко Ђурић,0.3,0.9
Александар Вучић,0.6,0.8
Александар Вучић,0.6,0.8
Др Владимир Орлић,0.4,0.8
Марко Ђурић,0.3,0.9
Александар Вучић,0.6,0.8
Александар Вучић,0.6,0.8
Небојша Стефановић,0.5,0.8
Небојша Стефановић,0.5,0.8
Александар Вучић,0.6,0.8
Александар Вучић,0.6,0.8
Владимир Ђукановић,0.8,0.9
Небојша Стефановић,0.5,0.8
Александар Вучић,0.6,0.8
Александар Вучић,0.6,0.8
Александар Вучић,0.6,0.8
Александар Вучић,0.6,0.8
Александар Вучић,0.6,0.8
Небојша Стефановић,0.5,0.8
Марко Ђурић,0.3,0.9
Милош Вучевић,0.2,0.9
Александар Вучић,0.6,0.8
Вјерица Радета,0.7,1
Александар Вучић,0.6,0.8
Марко Ђурић,0.3,0.9
Милош Вучевић,0.2,0.9
Милош Вучевић,0.2,0.9
Zoran Tomić,0.5,0.7
Вјерица Радета,0.7,1
Др Владимир Орлић,0.4,0.8
Aна Брнабић,0.1,0.5
Небојша Стефановић,0.5,0.8
Владимир Ђукановић,0.8,0.9
Aна Брнабић,0.1,0.5
Александар Вучић,0.6,0.8
