handle,username,timestamp,content,topic,language,economic_policy,social_policy,economic_policy_rounded,social_policy_rounded,sentiment_label,sentiment_score
@markodjuric,Марко Ђурић,2021-10-13T14:22:01.000Z,"Civilians in Zvecan have been attacked this morning when special forces of the so-called Kosovo police opened fire at unarmed protesters.

A three year old baby has been shot at, dozens of peaceful Serb civilians wounded in an action unparalleled in brutality.",kosovo,en,0.3,0.9,0.5,1.0,negative,0.9728009104728699
@markodjuric,Марко Ђурић,2021-06-11T13:58:40.000Z,"1/3 Jesus hates Serbs! Freshly painted the day before yesterday on a Serbian Orthodox Church in Pristina, the ""capital"" of Kosovo, where only 90 or so elderly Serbs remain of a pre-war population of over 45000. The next day, Kosovo Police sat idle and K.government provided...",kosovo,en,0.3,0.9,0.5,1.0,negative,0.9987201690673828
@markodjuric,Марко Ђурић,2021-09-20T14:57:24.000Z,1/3 Kurti regime in Kosovo* is pushing the region to the brink of bloodshed. Sending heavily armed special forces to Serb majority areas just for the sake of scoring cheap political points in the run for October 17 local elections is life-threatening and in violation of all...,kosovo,en,0.3,0.9,0.5,1.0,negative,0.9964402318000793
@markodjuric,Марко Ђурић,2021-04-25T17:10:43.000Z,"It should be very clear to everyone what the agenda is here. ""The dialogue is not a priority"" but voting in person in a neighbouring country is? What is even more disturbing is that the political movement led by the ""prime minister"" of Kosovo* is running in the elections for...",kosovo,en,0.3,0.9,0.5,1.0,negative,0.9972925782203674
@markodjuric,Марко Ђурић,2021-10-13T14:22:03.000Z,"KFOR/NATO need to react and deploy immediately to prevent further violence.

Under the false pretext of responding to contraband allegations, Kosovo special forces, armed with assault rifles, broke into Serbian pharmacies and confiscated medicine.",kosovo,en,0.3,0.9,0.5,1.0,negative,0.9966788291931152
@markodjuric,Марко Ђурић,2021-03-24T18:00:16.000Z,"1/3 Albin Kurti is wreaking havoc in the region on his second day in office. By claiming, in his latest statement, that he does not even want to discuss the formation of the Community of Serb majority municipalities – a legally binding obligation of Kosovo, signed, ratified...",kosovo,en,0.3,0.9,0.5,1.0,negative,0.9968487620353699
@markodjuric,Марко Ђурић,2022-01-16T20:07:06.000Z,Albin Kurti - the same man who previously voted in Albanian elections (against the Albanian government) - is now denying #Serbs in Kosovo* the right to vote under the pretext that citizens of one country cannot vote in elections in another.,kosovo,en,0.3,0.9,0.5,1.0,negative,0.9945580959320068
@NesaStefanovic,Небојша Стефановић,2019-10-16T09:10:44.000Z,"Many thanks to Belarus for its principled support for the sovereignty of the Republic of Serbia! Withdrawal of the application of the so-called Kosovo is a victory for international law. With Yuri Karayev, Minister of Internal Affairs of the Republic of Belarus. #INTERPOLGA",kosovo,en,0.5,0.8,0.5,1.0,positive,0.9984890222549438
@NesaStefanovic,Небојша Стефановић,2019-10-17T09:54:38.000Z,I spoke with Heads of Delegation of the Kingdom of Spain and the Republic of Moldova. I thanked their countries for their principled support to Serbia in fighting against the application of the so-called Kosovo for admission to Interpol. #Serbia #Chile #INTERPOLGA,kosovo,en,0.5,0.8,0.5,1.0,positive,0.9971243739128113
@NesaStefanovic,Небојша Стефановић,2019-10-15T10:34:19.000Z,Thanks to all those who respect the territorial integrity of the Republic of Serbia! A possible admission of the so-called Kosovo to Interpol would have far-reaching consequences and jeopardise the global fight against crime.  #Serbia #Chile #INTERPOLGA #NOfakestateKosovoINTERPOL,kosovo,en,0.5,0.8,0.5,1.0,positive,0.9566381573677063
@SerbianPM,Aна Брнабић,2019-06-10T13:52:00.000Z,Meeting with US Deputy Assistant Secretary of State Matthew Palmer. We talked about the situation in Kosovo and Metohija and the possibility of continuing the dialogue between Belgrade and Pristina.,kosovo,en,0.1,0.5,0.0,0.5,positive,0.9972764849662781
@SerbianPM,Aна Брнабић,2018-10-31T17:47:08.000Z,"In meetings with the President and Prime Minister of Belarus, Lukashenko and Rumas, we confirmed the friendship between our two countries and two nations. Serbia appreciates Belarus’ support in finding a solution for Kosovo and Metohija.",kosovo,en,0.1,0.5,0.0,0.5,positive,0.9998372793197632
@markodjuric,Марко Ђурић,2020-05-12T11:20:49.000Z,"Pursuant to the UNSC Resolution 1244, Kosovo and Metohija is an integral part of the Republic of Serbia, therefore we deem that the solution for the issue of Kosovo and Metohija should only be sought within this framework.",kosovo,en,0.3,0.9,0.5,1.0,negative,0.8340290188789368
@markodjuric,Марко Ђурић,2021-03-17T15:21:38.000Z,"3/3… on the territory of Kosovo and Metohija, which reached its tragic culmination on March 17, 2004, is still powerful. Therefore, it is upon us all not to allow any exodus or pogrom to happen ever again. #WeRemember #NeverAgain",kosovo,en,0.3,0.9,0.5,1.0,positive,0.9979660511016846
@markodjuric,Марко Ђурић,2021-04-23T18:40:44.000Z,"3/4 sporadic physical attacks, which are still, unfortunately, present, as well as through refusals to enforce court decisions made to protect the status and property of the SOC in Kosovo and Metohija.
Continued international presence and effort to ensure the respect of basic...",kosovo,en,0.3,0.9,0.5,1.0,positive,0.957780659198761
@NesaStefanovic,Небојша Стефановић,2018-10-29T12:04:49.000Z,"The self-proclaimed “Kosovo” makes no use of the already existing channels of communication with INTERPOL through UNMIK. Information exchange is non-existent, which clearly demonstrates that they do not want @INTERPOL_HQ membership for the sake of fighting crime #Serbia #INTERPOL",kosovo,en,0.5,0.8,0.5,1.0,negative,0.9986388087272644
@NesaStefanovic,Небојша Стефановић,2019-10-12T11:05:57.000Z,"Serbia has strong police, legal and political arguments which unequivocally confirm that the so-called Kosovo cannot be admitted to @INTERPOL_HQ.#Serbia #Chile #INTERPOLGA #NOfakestateKosovoINTERPOL",kosovo,en,0.5,0.8,0.5,1.0,positive,0.966579258441925
@SerbianPM,Aна Брнабић,2018-10-31T12:46:33.000Z,"At the Core Group meeting @MunSecConf in Minsk, we discussed current regional and global security topics. We remain dedicated to dialogue and finding a compromise and long-term sustainable solution for Kosovo and Metohija.",kosovo,en,0.1,0.5,0.0,0.5,positive,0.9967933297157288
@markodjuric,Марко Ђурић,2020-10-02T09:19:01.000Z,Serbs from Kosovo and Metohija wish @POTUS and @FLOTUS a quick and easy recovery!,kosovo,en,0.3,0.9,0.5,1.0,positive,0.9986549615859985
@SerbianPM,Aна Брнабић,2018-12-11T16:33:39.000Z,Frozen conflict is not a solution and it is certainly not good for either side - an important message by Slovak colleague @PellegriniP_ after today's meeting. We greatly appreciate the support of Slovakia regarding Kosovo and Metohija.,kosovo,en,0.1,0.5,0.0,0.5,negative,0.9950942993164062
@SerbianPM,Aна Брнабић,2018-09-28T09:30:22.000Z,At the meeting with the UN Sec Gen @antonioguterres it was confirmed that UNMIK will be staying in Kosovo and Metohija. Serbia is committed to continuing the dialogue between Belgrade and Pristina and finding a solution. We appreciate the role of the UN in international relations,kosovo,en,0.1,0.5,0.0,0.5,positive,0.9993610978126526
@markodjuric,Марко Ђурић,2021-11-20T19:01:44.000Z,"1/2
Now, here’s an interesting twist. The Prime Minister of Kosovo* Mr. Albin Kurti is now conspicuously against “Kosovo’s independence”.

Without any attempt at concealment, the strive for separation from Serbia is no longer the strive for independence;",kosovo,en,0.3,0.9,0.5,1.0,positive,0.9962006211280823
