handle,username,timestamp,content,topic,language,economic_policy,social_policy,economic_policy_rounded,social_policy_rounded,sentiment_label,sentiment_score
@MarinikaTepic,Marinika Tepić,2018-03-31T18:52:27.000Z,"Sad da vidimo @NesaStefanovic @avucic da li će i karatistima zabraniti EP u Novom Sadu zbog najave učešća Kosova kao onomad rukometašicama i džudistkinji? Ili su opet žrtvovali žene, u sportu?!

Inače kosovski i srpski karatisti Niševci i Bitević su se već sastali u Salcburgu.",kosovo,und,0.1,-0.4,0.0,-0.5,negative,0.6137233972549438
@markodjuric,Марко Ђурић,2021-03-17T15:21:38.000Z,"3/3… on the territory of Kosovo and Metohija, which reached its tragic culmination on March 17, 2004, is still powerful. Therefore, it is upon us all not to allow any exodus or pogrom to happen ever again. #WeRemember #NeverAgain",kosovo,en,0.3,0.9,0.5,1.0,positive,0.9979660511016846
@P_Socijalista,Pokret Socijalista,2021-07-02T10:06:47.000Z,Министар и председник ПС-а Вулин Камберију: Александар Вучић тзв. Косово неће признати никада - Новости - Покрет социјалиста | Партија борбене левице - Александар Вулин,kosovo,sr,-0.8,1.0,-1.0,1.0,negative,0.356061726808548
@ZoranT11,Zoran Tomić,2021-10-17T19:10:24.000Z,Još jednom smo pokazali da kad je srpski narod jedinstven da nema toga što nas može sprečiti da se borimo za interese našeg naroda. Još jedna ubedljiva pobeda Srpske liste i dokaz da nećemo dozvoliti Albancima da naš narod proteraju sa vekovnog ognjišta.,albanija,und,0.5,0.7,0.5,0.5,positive,0.9211943745613098
@NesaStefanovic,Небојша Стефановић,2020-11-28T12:40:34.000Z,Са председником Републике и врховним командантом Војске Србије Александром Вучићем присуствовао сам данас приказу тенкова Т-72МС у касарни “Мија Станимировић” у Нишу. Тенкови које смо добили од Русије даће значајан допринос борбеној готовости Војске Србије.@mo_i_vs,rusija,sr,0.5,0.8,0.5,1.0,positive,0.8683547973632812
@NovaStranka,Nova stranka,2017-11-15T13:55:00.000Z,.@MarinikaTepic: Nije dovoljno da se predsednica Vlade samo pojavi i fotografiše na Paradi ponosa. Pripadnike LGBT populacije je potrebno i zakonom zaštititi od mržnje i napada fašista i neonacista.https://Bzq1A…,lgbt,und,0.4,-0.5,0.5,-0.5,negative,0.5405192375183105
@ArisMovsesijan,Aris Movsesijan,2017-03-27T08:59:07.000Z,Srbija? Ništa? Ok.Albanija otvorila arhivu tajne policije Envera Hodže http:// preko @N1infoBG,albanija,und,0.3,-0.6,0.5,-0.5,neutral,0.4787136316299438
@BoskoObradovic,Бошко Обрадовић,2020-05-09T09:17:19.000Z,Јучерашњи протест народних  посланика @SPDveri испред Народне скупштине је класичан чин антифашизма! Ми смо као народ имали два покрета отпора и први смо устаници у окупираној Европи под нацизмом! Први ослобођени градови у Европи били су српски. Срећан Дан победе над фашизмом!,evropa,sr,0.4,0.8,0.5,1.0,positive,0.7977888584136963
@LDP,LDP,2019-02-28T10:47:54.000Z,INTERVJU | @Ceda_Jovanovic za @uzickanedelja: Srbiju vidimo u Evropskoj uniji i NATO  https://,evropa,und,-0.3,-0.9,-0.5,-1.0,positive,0.80218106508255
@SasaRadulovich,Saša Radulović,2019-07-23T19:03:24.000Z,"Ako pitate ""najpoznatije svetske medije"" i ""agencijske vesti"" koje su praktično sve u vlasništvu istih ljudi, na čelo UK je došao ""fašista"" koji ""podržava Putina"" :-)

Svaki suverenista na vlasti bilo gde u svetu je bolji za interese Srbije od bilo kog globaliste.",putin,und,0.2,0.6,0.0,0.5,negative,0.5278008580207825
@StrankaNarodna,Narodna stranka,2020-05-22T07:32:09.000Z,Јовановић: У току је израда Беле књиге о криминалу и корупцији у Београду @Nik_Jov #Beogradhttps://stranka-nikola-jovanovic-savez-za-srbiju-beograd-kriminal-bela-knjiga#.Xsd8SepRT4s.twitter…,korupcija,sr,-0.2,-0.7,0.0,-0.5,negative,0.7178356647491455
@ZoranLutovac,Zoran Lutovac,2020-12-20T09:17:31.000Z,"Ova vlast i ovaj sistem počivaju na kriminalu i korupciji. Moramo menjati i vlast i sistem. To je pitanje opstanka, a ne političkog opredeljenja.@demokrate",korupcija,und,0.3,-0.2,0.5,0.0,negative,0.8965809941291809
@SerbianPM,Aна Брнабић,2018-12-02T11:51:35.000Z,". @ESUtwt supported the protests of Serbian students in Kosovo and Metohija: in the 21st century, no student should be withheld from basic human rights.",kosovo,en,0.1,0.5,0.0,0.5,positive,0.9303557872772216
@MarijanNSS,Marijan Rističević,2015-09-18T22:04:47.000Z,"@milosvujic991 @VrloSlican O kakav dokument. Ne mogu da verujem koliko ste glupi? Vi pričate o korupciji, Boga oca ste pokrali.",korupcija,und,0.4,0.8,0.5,1.0,negative,0.95445317029953
@BoskoObradovic,Бошко Обрадовић,2022-04-02T16:56:45.000Z,"Лекарски Тим снова! Хвала удружењима грађана Лекари за науку и етику и Право на избор, као и Покрету српске саборности на подршци на изборима. Наша је обавеза да у будућем сазиву Народне скупштине и скупштине града Београда заступамо идеје и предлоге ове групе изузетних лекара!",beograd,sr,0.4,0.8,0.5,1.0,positive,0.8823359608650208
@BorkoStef,Borko Stefanović,2014-12-08T13:36:58.000Z,"@Vookela @rstkpet @tanja_henry @dusanmasic @LDP Svi smo bili naivni, posto sem vidovitih, nismo predvideli sukob u Ukrajini.",ukrajina,und,0.1,-0.3,0.0,-0.5,negative,0.877426028251648
@MarijanNSS,Marijan Rističević,2014-09-02T22:40:00.000Z,"Rusija se nada da Amerika neće pomoći Ukrajini da uspostavi demokratiju,na libijski ili irački način,izjavio je ruski šef diplomatije Lavrov",ukrajina,und,0.4,0.8,0.5,1.0,negative,0.718777596950531
@FHPHLC,Fond za humanitarno pravo,2016-11-29T18:00:02.000Z,"Mnogo mesta na Kosovu poštovali su i Srbi i Albanci, njihovim uništavanjem trajno su i dodatno narušeni njihovi međusobni odnosi.",albanija,und,0.0,-0.9,0.0,-1.0,negative,0.8882576823234558
@MarinikaTepic,Marinika Tepić,2021-06-13T11:05:23.000Z,"Ovo pismo Tužilaštvo da smatra
KRIVIČNOM PRIJAVOM!

Devojčicama kod Bora prišla su trojica Kineza, radnici Zijina, tražeći sex.Jedna od mama mi je sad potvrdila da je prijavila policiji, ali se nisu potrudili ni da ih pronađu.Važno da je ceo Beograd pod kineskim kamerama!",beograd,und,0.1,-0.4,0.0,-0.5,negative,0.9297557473182678
@FantomiSRB,Pokret ujed. fantoma,2019-01-18T19:10:28.000Z,Ajmooooo Novi Sad!!!,amerika,und,-0.7,-0.7,-0.5,-0.5,positive,0.9872699975967408
@BoskoObradovic,Бошко Обрадовић,2018-03-25T10:33:33.000Z,"Ево познатих места са Свете Горе из личног фотографског угла са поклоничког путовања: Крст Цара Душана и Пирг Краља Милутина на путу за Хиландар, предивни руски манастир Св. Пантелејмона, моћна духовна тврђава - велики грчки манастир Ватопед са прелепо уређеним пристаништем...",rusija,sr,0.4,0.8,0.5,1.0,positive,0.9204539060592652
@Ceda_Jovanovic,Čedomir Jovanović,2019-10-08T13:16:14.000Z,Nadam se da će se u Prištini brzo formirati nova Vlada sa stabilnom većinom u parlamentu koja će imati snage da postigne sporazum sa Beogradom koji će društvo na Kosovu razumeti i prihvatiti.  http://,kosovo,und,-0.2,1.0,0.0,1.0,positive,0.8001508116722107
@StrankaNarodna,Narodna stranka,2022-03-02T14:59:57.000Z,"Poljoprivreda da bude iskorišćen resurs, a ne propuštena šansa! Umesto što su subvencije smanjene sa 14.000 na 4.000 dinara, umesto najskupljeg dizel goriva za poljoprivrednike u Evropi, umesto ulaganja u strane investitore mi ćemo ulagati u domaće firme i mala gazdinstva.",evropa,und,-0.2,-0.7,0.0,-0.5,positive,0.4416223168373108
@SutanovacDragan,Šutanovac Dragan,2019-09-28T16:42:37.000Z,"Ne možeš da osudiš pajaca Šešelja što preti šišanjem po Srbiji a da prećutiš cirkuzanta što preti LGBT po Čačku! Jednostavno, sve ili ništa.",lgbt,und,0.4,-0.1,0.5,0.0,negative,0.8569600582122803
@SasaRadulovich,Saša Radulović,2020-04-30T16:51:15.000Z,"Jedina greška koju je i Švedska napravila zajedno sa svim drugim zemljama je: dopustili su da virus uđe u staračke domove. Polovina svih preminulih u Evropi je umrlo u staračkim domovima. POLOVINA.

Četvrtina svih umrlih u Srbiji je umrla u Gerontološkom centru u Nišu. ČETVRTINA.",evropa,und,0.2,0.6,0.0,0.5,negative,0.9328470826148988
@MarijanNSS,Marijan Rističević,2014-06-16T17:08:18.000Z,@_Korupcija Za svaki slučaj ću sutra sa švapskim novinama poneti ovo!,korupcija,und,0.4,0.8,0.5,1.0,neutral,0.5325408577919006
@MiranPogacar,Miran Pogačar,2022-03-01T13:31:57.000Z,Od EU Ukrajina dobila aplauz. I više od očekivanog.,ukrajina,und,-0.9,-0.1,-1.0,0.0,positive,0.6905763745307922
@MarinikaTepic,Marinika Tepić,2018-04-06T13:34:41.000Z,"U Beloj Crkvi su i dislocirali sednicu, zakazali je na drugom mestu, a na opozicione odbornike bacali suzavac dok ih je angažovano skupštinsko obezbeđenje sprečavalo da uđu.",crkva,und,0.1,-0.4,0.0,-0.5,negative,0.9371218681335448
