username,economic_policy,social_policy
Zoran Tomić,0.74,1.0
Вјерица Радета,0.47,0.75
Владимир Ђукановић,0.6,0.94
Marijan Rističević,0.68,1.0
Aleksandar Šapić,0.68,1.0
Tomislav Momirovic,0.4,0.75
Nemanja Šarović,0.56,0.95
Šutanovac Dragan,0.47,0.72
Бошко Обрадовић,0.53,0.94
Aris Movsesijan,0.47,0.72
Nova stranka,0.47,0.74
Saša Radulović,0.71,1.0
ДВЕРИ,0.4,0.75
Hana Adrović,0.47,0.72
Sergej Trifunović,0.47,0.82
Vuk Jeremić,0.47,0.75
Borko Stefanović,0.56,0.95
Marinika Tepić,0.68,1.0
Dragan Djilas,0.74,1.0
Narodna stranka,0.47,0.89
Nina Stojaković,0.47,0.72
Anna Oreg,0.47,0.72
Ђурађ Јакшић,0.6,0.94
"Prof. dr Vladimir Vuletić, #CNB",0.64,0.97
Stranka slobode i pravde,0.71,1.0
Aleksandar Šešelj,0.56,0.95
Miroslav Aleksic,0.56,0.95
ДЈБ - Суверенисти,0.71,1.0
Aна Брнабић,0.68,1.0
Марко Ђурић,0.68,1.0
Др Владимир Орлић,0.74,1.0
Александар Вучић,0.68,1.0
Небојша Стефановић,0.68,1.0
Demokratska stranka,0.61,0.98
