username,economic_policy,social_policy
Fond za humanitarno pravo,0.1,-0.1
Katalonka,-0.0,-0.0
Marinika Tepić,0.1,-0.1
Vuk Jeremić,0.1,0.0
Miroslav Aleksic,0.15,0.2
Небојша Стефановић,0.4,0.7
Aна Брнабић,-0.0,0.4
Tomislav Momirovic,0.2,0.5
Aleksandar Odžić,0.1,0.25
OSFSerbia,0.1,-0.1
Marijan Rističević,0.3,0.5
Demokratska stranka,0.15,0.2
Nemanja Šarović,0.3,0.6
Pokret Socijalista,0.1,-0.1
Čedomir Jovanović,0.1,0.05
Zajedno Za Srbiju,-0.1,0.4
Saša Radulović,0.1,0.0
Šutanovac Dragan,0.3,0.0
Александар Вучић,0.2,0.7
Ne davimo Beograd,0.1,-0.1
LDP,0.1,0.0
Владимир Ђукановић,0.3,0.6
NKPJ,0.0,-0.05
Sergej Trifunović,0.2,-0.1
Nina Stojaković,-0.0,-0.1
Милош Вучевић,0.2,0.5
Anna Oreg,0.3,-0.1
Марко Ђурић,0.2,0.1
Бошко Обрадовић,0.1,0.1
Partija rada,0.1,-0.1
ДЈБ - Суверенисти,0.2,0.5
Dragan Djilas,-0.0,-0.1
Narodna stranka,0.1,0.1
Vojin Biljić,0.25,0.3
Borko Stefanović,0.1,0.1
Brajan Brkovic,-0.0,-0.15
Aleksandar Šapić,0.15,0.05
Stranka slobode i pravde,0.1,-0.1
Вјерица Радета,0.2,0.5
"MORAMO,",-0.2,-0.1
Branislav Lečić,0.1,0.1
Zoran Tomić,0.1,0.1
ДВЕРИ,0.15,-0.05
Др Владимир Орлић,0.3,-0.1
Miran Pogačar,0.1,-0.1
Pokret ujed. fantoma,0.1,0.1
"Prof. dr Vladimir Vuletić, #CNB",0.1,-0.0
Aris Movsesijan,0.1,-0.1
Zoran Lutovac,0.1,0.5
Невена Ђурић,0.1,0.1
Hana Adrović,0.25,0.55
Zelena Stranka,0.1,-0.2
Nova stranka,0.1,-0.2
Здравко Понош,0.3,0.5
Ђурађ Јакшић,0.3,0.5
